iter	Passed	Remaining
788	1533	410
789	1534	407
790	1535	405
791	1536	403
792	1538	401
793	1539	399
794	1540	397
795	1542	395
796	1544	393
797	1545	391
798	1547	389
799	1548	387
800	1549	384
801	1550	382
802	1551	380
803	1552	378
804	1553	376
805	1554	374
806	1555	372
807	1557	370
808	1559	368
809	1560	366
810	1561	363
811	1563	361
812	1564	359
813	1565	357
814	1566	355
815	1567	353
816	1568	351
817	1569	349
818	1571	347
819	1573	345
820	1575	343
821	1576	341
822	1577	339
823	1578	337
824	1579	335
825	1581	333
826	1582	331
827	1583	328
828	1584	326
829	1587	325
830	1589	323
831	1590	321
832	1591	319
833	1592	317
834	1594	315
835	1595	312
836	1596	310
837	1597	308
838	1598	306
839	1599	304
840	1603	303
841	1604	301
842	1606	299
843	1607	297
844	1608	295
845	1610	293
846	1612	291
847	1613	289
848	1614	287
849	1617	285
850	1618	283
851	1620	281
852	1621	279
853	1622	277
854	1623	275
855	1624	273
856	1626	271
857	1627	269
858	1628	267
859	1629	265
860	1632	263
861	1633	261
862	1634	259
863	1635	257
864	1637	255
865	1638	253
866	1639	251
867	1640	249
868	1641	247
869	1642	245
870	1644	243
871	1648	241
872	1650	240
873	1651	238
874	1652	236
875	1653	234
876	1654	232
877	1655	230
878	1657	228
879	1658	226
880	1660	224
881	1662	222
882	1663	220
883	1664	218
884	1666	216
885	1667	214
886	1668	212
887	1669	210
888	1670	208
889	1672	206
890	1673	204
891	1675	202
892	1677	200
893	1678	199
894	1679	197
895	1680	195
896	1682	193
897	1683	191
898	1684	189
899	1686	187
900	1687	185
901	1689	183
902	1692	181
903	1694	179
904	1695	177
905	1696	176
906	1698	174
907	1700	172
908	1701	170
909	1703	168
910	1705	166
911	1706	164
912	1708	162
913	1709	160
914	1710	158
915	1711	156
916	1712	155
917	1714	153
918	1715	151
919	1716	149
920	1717	147
921	1719	145
922	1721	143
923	1722	141
924	1723	139
925	1724	137
926	1726	135
927	1727	134
928	1728	132
929	1729	130
930	1730	128
931	1732	126
932	1733	124
933	1735	122
934	1737	120
935	1738	118
936	1739	116
937	1740	115
938	1742	113
939	1743	111
940	1744	109
941	1746	107
942	1747	105
943	1748	103
944	1750	101
945	1751	100
946	1753	98
947	1754	96
948	1755	94
949	1756	92
950	1758	90
951	1760	88
952	1762	86
953	1764	85
954	1766	83
955	1768	81
956	1770	79
957	1771	77
958	1773	75
959	1774	73
960	1775	72
961	1776	70
962	1779	68
963	1780	66
964	1781	64
965	1783	62
966	1784	60
